kode_bps,kode_dagri,nama_bps,nama_dagri
1101010001,11.09.07.2008,LATIUNG,LATIUNG
1101010002,11.09.07.2011,LABUHAN BAJAU,LABUHAN BAJAU
1101010003,11.09.07.2002,SUAK LAMATAN,SUAK LAMATAN
1101010004,11.09.07.2013,ANA AO,ANA AO
1101010005,11.09.07.2014,LATALING,LATALING
1101010007,11.09.07.2007,BADEGONG,BADEGONG
1101010008,11.09.07.2006,KEBUN BARU,KEBUN BARU
1101010009,11.09.07.2005,ULUL MAYANG,ULUL MAYANG
1101010010,11.09.07.2009,PASIR TINGGI,PASIR TINGGI
1101010011,11.09.07.2010,LABUHAN JAYA,LABUHAN JAYA
1101010012,11.09.07.2016,LABUHAN BAKTI,LABUHAN BAKTI
1101010013,11.09.07.2004,BATU RALANG,BATU RALANG
1101010014,11.09.07.2003,ALUS ALUS,ALUS ALUS
1101010015,11.09.07.2001,SEUNEUBOK,SEUNEUBOK
1101010016,11.09.07.2012,BLANG SEBEL,BLANG SEBEL
1101010017,11.09.07.2019,TRANS BARU,TRANS BARU
1101010018,11.09.07.2018,TRANS MERANTI,TRANS MERANTI
1101010019,11.09.07.2017,TRANS JERNGE,TRANS JERNGE
1101010006,11.09.07.2015,PULAU BENGKALAK,PULAU BANGKALAK
1101020022,11.09.04.2024,AIR PINANG,AIR PINANG
1101020023,11.09.04.2022,KUALA MAKMUR,KUALA MAKMUR
1101020024,11.09.04.2021,GANTING,GANTING
1101020025,11.09.04.2028,LINGGI,LINGGI
1101020026,11.09.04.2019,LUGU,LUGU
1101020027,11.09.04.2017,SINABANG,SINABANG
1101020028,11.09.04.2015,SUKA MAJU,SUKA MAJU
1101020029,11.09.04.2016,SUKA KARYA,SUKA KARYA
1101020030,11.09.04.2014,SUKA JAYA,SUKA JAYA
1101020031,11.09.04.2012,AIR DINGIN,AIR DINGIN
1101020032,11.09.04.2026,KOTA BATU,KOTA BATU
1101020035,11.09.04.2009,SUAK BULUH,SUAK BULUH
1101020036,11.09.04.2023,UJUNG TINGGI,UJUNG TINGGI
1101020037,11.09.04.2025,PULAU SIUMAT,PULAU SIUMAT
1101020038,11.09.04.2020,SEFOYAN,SEFOYAN
1101020039,11.09.04.2018,AMAITENG MULIA,AMAITENG MULIA
1101020040,11.09.04.2013,AMERIA BAHAGIA,AMERIA BAHAGIA
1101021001,11.09.03.2016,SITAL,SITAL
1101021002,11.09.03.2015,LEUBANG,LEUBANG
1101021003,11.09.03.2014,LEUBANG HULU,LEUBANG HULU
1101021004,11.09.03.2004,AWE SEUBAL,AWE SEUBAL
1101021005,11.09.03.2013,LANTIK,LANTIK
1101021006,11.09.03.2011,AWE KECIL,AWE KECIL
1101021007,11.09.03.2009,SALUR,SALUR
1101021008,11.09.03.2008,SALUR LATUN,SALUR LATUN
1101021009,11.09.03.2007,SALUR LASENGALU,SALUR LASENGALU
1101021010,11.09.03.2018,NANCALA,NANCALA
1101021011,11.09.03.2017,MAUDIL,MAUDIL
1101021012,11.09.03.2006,INOR,INOR
1101021013,11.09.03.2012,NAIBOS,NAIBOS
1101021014,11.09.03.2005,LAAYON,LAAYON
1101021015,11.09.03.2003,ANGKEO,ANGKEO
1101021016,11.09.03.2002,BUNON,BUNON
1101021017,11.09.03.2001,SILENGAS,SILENGAS
1101021018,11.09.03.2010,PULAU TEUPAH,PULAU TEUPAH
1101022002,11.09.09.2004,BUSUNG INDAH,BUSUNG INDAH
1101022003,11.09.09.2008,NANCAWA,NANCAWA
1101022004,11.09.09.2009,LABUAH,LABUAH
1101022005,11.09.09.2007,ABAIL,ABAIL
1101022006,11.09.09.2006,SIMPANG ABAIL,SIMPANG ABAIL
1101022007,11.09.09.2003,LANTING,LANTING
1101022008,11.09.09.2002,LASIKIN,LASIKIN
1101022009,11.09.09.2001,MATANURUNG,MATANURUNG
1101022012,11.09.09.2012,SITUBUK,SITUBUK
1101022001,11.09.09.2005,KAHAT,KAHAD
1101022010,11.09.09.2010,SUA SUA,SUA-SUA
1101022011,11.09.09.2011,BATU BATU,BATU-BATU
1101030001,11.09.01.2013,DIHIT,DIHIT
1101030003,11.09.01.2012,LAMBAYA,LAMBAYA
1101030004,11.09.01.2011,LAKUBANG,LAKUBANG
1101030005,11.09.01.2008,KAMPUNG AIE,KAMPUNG AIE
1101030006,11.09.01.2009,LAUREE,LAUREE
1101030007,11.09.01.2016,LATITIK,LATITIK
1101030008,11.09.01.2010,LAMAYANG,LAMAYANG
