kode_bps,kode_dagri,nama_bps,nama_dagri
1101,11.09,SIMEULUE,KAB. SIMEULUE
1102,11.1,ACEH SINGKIL,KAB. ACEH SINGKIL
1103,11.01,ACEH SELATAN,KAB. ACEH SELATAN
1104,11.02,ACEH TENGGARA,KAB. ACEH TENGGARA
1105,11.03,ACEH TIMUR,KAB. ACEH TIMUR
1106,11.04,ACEH TENGAH,KAB. ACEH TENGAH
1107,11.05,ACEH BARAT,KAB. ACEH BARAT
1108,11.06,ACEH BESAR,KAB. ACEH BESAR
1109,11.07,PIDIE,KAB. PIDIE
1110,11.11,BIREUEN,KAB. BIREUEN
1111,11.08,ACEH UTARA,KAB. ACEH UTARA
1112,11.12,ACEH BARAT DAYA,KAB. ACEH BARAT DAYA
1113,11.13,GAYO LUES,KAB. GAYO LUES
1114,11.16,ACEH TAMIANG,KAB. ACEH TAMIANG
1115,11.15,NAGAN RAYA,KAB. NAGAN RAYA
1116,11.14,ACEH JAYA,KAB. ACEH JAYA
1117,11.17,BENER MERIAH,KAB. BENER MERIAH
1118,11.18,PIDIE JAYA,KAB. PIDIE JAYA
1171,11.71,BANDA ACEH,KOTA BANDA ACEH
1172,11.72,SABANG,KOTA SABANG
1173,11.74,LANGSA,KOTA LANGSA
1174,11.73,LHOKSEUMAWE,KOTA LHOKSEUMAWE
1175,11.75,SUBULUSSALAM,KOTA SUBULUSSALAM
1201,12.04,NIAS,KAB. NIAS
1202,12.13,MANDAILING NATAL,KAB. MANDAILING NATAL
1203,12.03,TAPANULI SELATAN,KAB. TAPANULI SELATAN
1204,12.01,TAPANULI TENGAH,KAB. TAPANULI TENGAH
1205,12.02,TAPANULI UTARA,KAB. TAPANULI UTARA
1206,12.12,TOBA SAMOSIR,KAB. TOBA SAMOSIR
1207,12.1,LABUHAN BATU,KAB. LABUHANBATU
1208,12.09,ASAHAN,KAB. ASAHAN
1209,12.08,SIMALUNGUN,KAB. SIMALUNGUN
1210,12.11,DAIRI,KAB. DAIRI
1211,12.06,KARO,KAB. KARO
1212,12.07,DELI SERDANG,KAB. DELI SERDANG
1213,12.05,LANGKAT,KAB. LANGKAT
1214,12.14,NIAS SELATAN,KAB. NIAS SELATAN
1215,12.16,HUMBANG HASUNDUTAN,KAB. HUMBANG HASUNDUTAN
1216,12.15,PAKPAK BHARAT,KAB. PAKPAK BHARAT
1217,12.17,SAMOSIR,KAB. SAMOSIR
1218,12.18,SERDANG BEDAGAI,KAB. SERDANG BEDAGAI
1219,12.19,BATU BARA,KAB. BATU BARA
1220,12.2,PADANG LAWAS UTARA,KAB. PADANG LAWAS UTARA
1221,12.21,PADANG LAWAS,KAB. PADANG LAWAS
1222,12.22,LABUHAN BATU SELATAN,KAB. LABUHANBATU SELATAN
1223,12.23,LABUHAN BATU UTARA,KAB. LABUHANBATU UTARA
1224,12.24,NIAS UTARA,KAB. NIAS UTARA
1225,12.25,NIAS BARAT,KAB. NIAS BARAT
1271,12.73,SIBOLGA,KOTA SIBOLGA
1272,12.74,TANJUNG BALAI,KOTA TANJUNG BALAI
1273,12.72,PEMATANG SIANTAR,KOTA PEMATANG SIANTAR
1274,12.76,TEBING TINGGI,KOTA TEBING TINGGI
1275,12.71,MEDAN,KOTA MEDAN
1276,12.75,BINJAI,KOTA BINJAI
1277,12.77,PADANGSIDIMPUAN,KOTA PADANGSIDIMPUAN
1278,12.78,GUNUNGSITOLI,KOTA GUNUNGSITOLI
1301,13.09,KEPULAUAN MENTAWAI,KAB. KEPULAUAN MENTAWAI
1302,13.01,PESISIR SELATAN,KAB. PESISIR SELATAN
1303,13.02,SOLOK,KAB. SOLOK
1304,13.03,SIJUNJUNG,KAB. SIJUNJUNG
1305,13.04,TANAH DATAR,KAB. TANAH DATAR
1306,13.05,PADANG PARIAMAN,KAB. PADANG PARIAMAN
1307,13.06,AGAM,KAB. AGAM
1308,13.07,LIMA PULUH KOTA,KAB. LIMA PULUH KOTA
1309,13.08,PASAMAN,KAB. PASAMAN
1310,13.11,SOLOK SELATAN,KAB. SOLOK SELATAN
1311,13.1,DHARMASRAYA,KAB. DHARMASRAYA
1312,13.12,PASAMAN BARAT,KAB. PASAMAN BARAT
1371,13.71,PADANG,KOTA PADANG
1372,13.72,SOLOK,KOTA SOLOK
1373,13.73,SAWAH LUNTO,KOTA SAWAHLUNTO
1374,13.74,PADANG PANJANG,KOTA PADANG PANJANG
1375,13.75,BUKITTINGGI,KOTA BUKITTINGGI
1376,13.76,PAYAKUMBUH,KOTA PAYAKUMBUH
1377,13.77,PARIAMAN,KOTA PARIAMAN
1401,14.09,KUANTAN SINGINGI,KAB. KUANTAN SINGINGI
1402,14.02,INDRAGIRI HULU,KAB. INDRAGIRI HULU
1403,14.04,INDRAGIRI HILIR,KAB. INDRAGIRI HILIR
1404,14.05,PELALAWAN,KAB.  PELALAWAN
1405,14.08,S I A K,KAB.  SIAK
1406,14.01,KAMPAR,KAB. KAMPAR
1407,14.06,ROKAN HULU,KAB.  ROKAN HULU
1408,14.03,BENGKALIS,KAB. BENGKALIS
1409,14.07,ROKAN HILIR,KAB.  ROKAN HILIR
