kode_bps,kode_dagri,nama_bps,nama_dagri
1101051,11.09.08,ALAFAN,ALAPAN
1101010,11.09.07,TEUPAH SELATAN,TEUPAH SELATAN
1101020,11.09.04,SIMEULUE TIMUR,SIMEULUE TIMUR
1101021,11.09.03,TEUPAH BARAT,TEUPAH BARAT
1101022,11.09.09,TEUPAH TENGAH,TEUPAH TENGAH
1101030,11.09.01,SIMEULUE TENGAH,SIMEULUE TENGAH
1101031,11.09.05,TELUK DALAM,TELUK DALAM
1101032,11.09.10,SIMEULUE CUT,SIMEULUE CUT
1101040,11.09.02,SALANG,SALANG
1101050,11.09.06,SIMEULUE BARAT,SIMEULUE BARAT
1102010,11.10.01,PULAU BANYAK,PULAU BANYAK
1102011,11.10.16,PULAU BANYAK BARAT,PULAU BANYAK BARAT
1102020,11.10.04,SINGKIL,SINGKIL
1102021,11.10.10,SINGKIL UTARA,SINGKIL UTARA
1102022,11.10.14,KUALA BARU,KUALA BARU
1102030,11.10.02,SIMPANG KANAN,SIMPANG KANAN
1102031,11.10.06,GUNUNG MERIAH,GUNUNG MERIAH
1102032,11.10.11,DANAU PARIS,DANAU PARIS
1102042,11.10.13,SINGKOHOR,SINGKOHOR
1102043,11.10.09,KOTA BAHARU,KOTA BAHARU
1102033,11.10.12,SURO,SURO MAKMUR
1103041,11.01.10,PASIE RAJA,PASI RAJA
1103050,11.01.08,TAPAK TUAN,TAPAKTUAN
1103060,11.01.06,SAMA DUA,SAMADUA
1103010,11.01.09,TRUMON,TRUMON
1103011,11.01.16,TRUMON TIMUR,TRUMON TIMUR
1103012,11.01.18,TRUMON TENGAH,TRUMON TENGAH
1103020,11.01.01,BAKONGAN,BAKONGAN
1103021,11.01.15,BAKONGAN TIMUR,BAKONGAN TIMUR
1103022,11.01.17,KOTA BAHAGIA,KOTA BAHAGIA
1103030,11.01.03,KLUET SELATAN,KLUET SELATAN
1103031,11.01.14,KLUET TIMUR,KLUET TIMUR
1103040,11.01.02,KLUET UTARA,KLUET UTARA
