kode_bps,kode_dagri,nama_bps,nama_dagri
11,11,ACEH,ACEH
12,12,SUMATERA UTARA,SUMATERA UTARA
13,13,SUMATERA BARAT,SUMATERA BARAT
14,14,RIAU,RIAU
15,15,JAMBI,JAMBI
16,16,SUMATERA SELATAN,SUMATERA SELATAN
17,17,BENGKULU,BENGKULU
18,18,LAMPUNG,LAMPUNG
19,19,KEP. BANGKA BELITUNG,KEP. BANGKA BELITUNG
21,21,KEP. RIAU,KEP. RIAU
31,31,DKI JAKARTA,DKI JAKARTA
32,32,JAWA BARAT,JAWA BARAT
33,33,JAWA TENGAH,JAWA TENGAH
34,34,DI YOGYAKARTA,DI YOGYAKARTA
35,35,JAWA TIMUR,JAWA TIMUR
36,36,BANTEN,BANTEN
51,51,BALI,BALI
52,52,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT
53,53,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR
61,61,KALIMANTAN BARAT,KALIMANTAN BARAT
62,62,KALIMANTAN TENGAH,KALIMANTAN TENGAH
63,63,KALIMANTAN SELATAN,KALIMANTAN SELATAN
64,64,KALIMANTAN TIMUR,KALIMANTAN TIMUR
65,65,KALIMANTAN UTARA,KALIMANTAN UTARA
71,71,SULAWESI UTARA,SULAWESI UTARA
72,72,SULAWESI TENGAH,SULAWESI TENGAH
73,73,SULAWESI SELATAN,SULAWESI SELATAN
74,74,SULAWESI TENGGARA,SULAWESI TENGGARA
75,75,GORONTALO,GORONTALO
76,76,SULAWESI BARAT,SULAWESI BARAT
81,81,MALUKU,MALUKU
82,82,MALUKU UTARA,MALUKU UTARA
91,92,PAPUA BARAT,PAPUA BARAT
94,91,PAPUA,PAPUA
