kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
2202,IRIAN BARAT,2601,MARAUKE,2601,MERAUKE,8201,MERAUKE,9101,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE,9401,MERAUKE
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA,9402,JAYAWIJAYA
2202,IRIAN BARAT,2603,DJAJAPURA,2603,JAYAPURA,8203,JAYA PURA,9103,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA,9403,JAYAPURA
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9106,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE,9404,NABIRE
2202,IRIAN BARAT,2608,JAPEN WAROPEN,2608,YAPEN WAROPEN,8208,YAPEN WAROPEN,9111,YAPEN WAROPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN,9408,KEPULAUAN YAPEN
2202,IRIAN BARAT,2609,T. TJENDRAWASIH,2609,TELUK CENDRAWASIH,8209,BIAK NUMFOR,9112,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR,9409,BIAK NUMFOR
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9104,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI,9410,PANIAI
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9105,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA,9411,PUNCAK JAYA
2202,IRIAN BARAT,2605,FAK-FAK,2605,FAK FAK,8205,FAK FAK,9108,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA,9412,MIMIKA
2202,IRIAN BARAT,2601,MARAUKE,2601,MERAUKE,8201,MERAUKE,9101,MERAUKE,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL,9413,BOVEN DIGOEL
