kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
11,D.I. ATJEH,1,D.I ATJEH,1,DAERAH ISTIMEWA ACEH,11,DAERAH ISTIMEWA ACEH,11,DI ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH,11,ACEH
10,SUMATRA UTARA,2,SUMATRA UTARA,2,SUMATERA UTARA,12,SUMATRA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA,12,SUMATERA UTARA
9,SUMATERA BARAT,3,SUMATRA BARAT,3,SUMATERA BARAT,13,SUMATRA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT,13,SUMATERA BARAT
8,RIAU,4,RIAU,4,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU,14,RIAU
7,DJAMBI,5,DJAMBI,5,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI,15,JAMBI
6,SUMATERA SELATAN,6,SUMATRA SELATAN,6,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN,16,SUMATERA SELATAN
6,SUMATERA SELATAN,7,BENGKULU,7,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU,17,BENGKULU
6,SUMATERA SELATAN,8,LAMPUNG,8,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG,18,LAMPUNG
6,SUMATERA SELATAN,6,SUMATRA SELATAN,6,SUMATERA SELATAN,16,SUMATERA SELATAN,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG,19,KEPULAUAN BANGKA BELITUNG
8,RIAU,4,RIAU,4,RIAU,14,RIAU,14,RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU,21,KEPULAUAN RIAU
